Genre,parent_genre,song_count
pop,pop,100
dance pop,pop,100
rap,hip hop,100
post-teen pop,pop,100
rock,rock,100
latin,latin,100
hip hop,hip hop,100
pop rap,hip hop,100
trap latino,trap,100
trap,trap,100
modern rock,rock,100
edm,edm,100
reggaeton,reggaeton,100
pop dance,pop,100
electropop,electro,100
pop rock,rock,100
classic rock,rock,100
tropical house,house,100
latin pop,pop,100
mellow gold,gold,100
r&amp;b,r&amp;b,100
soft rock,rock,100
regional mexican,mexican,100
album rock,rock,100
k-pop,k-pop,100
canadian pop,pop,100
permanent wave,wave,100
alternative metal,metal,100
indie pop,pop,100
contemporary country,country,100
southern hip hop,hip hop,100
corrido,corrido,100
melodic rap,hip hop,100
electro house,house,100
uk pop,pop,100
urban contemporary,contemporary,100
country,country,100
hard rock,rock,100
nu metal,metal,100
alt z,alternative,100
alternative rock,rock,100
nuevo regional mexicano,mexicano,100
neo mellow,mellow,100
rock en espanol,rock,100
ranchera,ranchera,100
gangster rap,hip hop,100
latin hip hop,hip hop,100
tropical,tropical,100
chicago rap,hip hop,100
country road,country,100
modern alternative rock,rock,100
underground hip hop,hip hop,100
folk rock,rock,100
canadian hip hop,hip hop,100
new wave pop,pop,100
german hip hop,hip hop,100
atl hip hop,hip hop,100
country rock,rock,100
k-pop boy group,k-pop,100
french hip hop,hip hop,100
adult standards,standards,100
art rock,rock,100
desi pop,pop,100
soul,soul,100
pop urbaine,pop,100
indie poptimism,pop,100
alternative r&amp;b,alternative,100
toronto rap,hip hop,100
latin alternative,latin,100
mexican pop,pop,100
house,house,100
latin rock,rock,100
reggaeton colombiano,reggaeton,100
europop,pop,100
funk carioca,funk,100
sertanejo universitario,universitario,100
j-pop,j-pop,100
hip pop,pop,100
indie folk,folk,100
norteno,norteno,100
stomp and holler,holler,100
metal,metal,100
neo soul,soul,100
viral pop,pop,100
latin arena pop,pop,100
indie rock,rock,100
filmi,filmi,100
post-grunge,grunge,100
sertanejo,sertanejo,100
spanish pop,pop,100
new wave,wave,100
francoton,francoton,100
art pop,pop,100
sertanejo pop,pop,100
reggaeton flow,reggaeton,100
pop punk,punk,100
funk,funk,100
colombian pop,pop,100
italian pop,pop,100
blues rock,rock,100
modern bollywood,bollywood,100
emo rap,emo,100
indie soul,soul,100
quiet storm,storm,100
conscious hip hop,hip hop,100
sierreno,sierreno,100
singer-songwriter,singer-songwriter,100
slap house,house,100
lgbtq+ hip hop,hip hop,100
german pop,pop,100
pop edm,edm,100
indietronica,indie,100
rap francais,hip hop,100
uk dance,dance,100
miami hip hop,hip hop,100
motown,motown,100
boy band,band,100
east coast hip hop,hip hop,100
new romantic,romantic,100
pop r&amp;b,pop,100
sad rap,hip hop,100
disco,disco,100
dark trap,trap,100
psychedelic rock,rock,100
banda,banda,100
canadian contemporary r&amp;b,r&amp;b,100
metropopolis,pop,100
rap metal,metal,100
progressive house,house,100
folk,folk,100
puerto rican pop,pop,100
modern country rock,rock,100
sleep,sleep,100
glam rock,rock,100
escape room,room,100
swedish pop,pop,100
hoerspiel,hoerspiel,100
roots rock,rock,100
australian pop,pop,100
bedroom pop,pop,100
punk,punk,100
russian hip hop,hip hop,100
indie r&amp;b,indie,100
vapor trap,trap,100
italian hip hop,hip hop,100
progressive electro house,house,100
electronica,electro,100
ccm,ccm,100
chill r&amp;b,r&amp;b,100
mpb,mpb,100
brill building pop,pop,100
k-pop girl group,k-pop,100
argentine rock,rock,100
metalcore,metalcore,100
anime,anime,100
piano rock,rock,100
heartland rock,rock,100
christian music,music,100
alternative dance,alternative,100
uk hip hop,hip hop,100
hardcore hip hop,hip hop,100
indonesian pop,pop,100
trap argentino,trap,100
australian hip hop,hip hop,100
alternative hip hop,hip hop,100
corridos tumbados,tumbados,100
talent show,show,100
turkish pop,pop,100
new french touch,touch,100
west coast rap,hip hop,100
worship,worship,100
brooklyn drill,drill,100
synthpop,pop,100
italian adult pop,pop,100
vocal jazz,jazz,100
pagode,pagode,100
big room,room,100
otacore,otacore,100
rap rock,rock,100
social media pop,pop,100
lo-fi beats,beats,100
hollywood,hollywood,100
dance rock,rock,100
lounge,lounge,100
yacht rock,rock,100
urbano espanol,espanol,100
mexican hip hop,hip hop,100
french pop,pop,100
sad lo-fi,lo-fi,100
turkish trap pop,trap,100
detroit hip hop,hip hop,100
soundtrack,soundtrack,100
new americana,americana,100
pop nacional,pop,100
folk-pop,k-pop,100
sufi,sufi,100
cali rap,hip hop,100
polish hip hop,hip hop,100
classical,classical,100
world worship,worship,100
dirty south rap,hip hop,100
country pop,pop,100
christian alternative rock,rock,100
mariachi,mariachi,100
forro,forro,100
british invasion,invasion,100
opm,opm,100
glam metal,metal,100
melodic metalcore,metalcore,100
brazilian rock,rock,100
j-rock,rock,100
classic soul,soul,100
new rave,rave,100
cantautor,cantautor,100
brostep,brostep,100
beatlesque,beatlesque,100
bolero,bolero,100
trap queen,trap,100
garage rock,rock,100
dutch pop,pop,100
eurodance,eurodance,100
argentine hip hop,hip hop,100
funk metal,metal,100
rock-and-roll,rock,100
grupera,grupera,100
aesthetic rap,hip hop,99
british soul,soul,100
j-poprock,j-pop,100
deep house,house,100
dutch hip hop,hip hop,100
new jack swing,swing,100
viral rap,hip hop,100
rap conscient,hip hop,100
electronic trap,electro,100
vapor soul,soul,100
indiecoustica,indie,100
russian pop,pop,100
bubblegum pop,pop,100
north carolina hip hop,hip hop,100
grunge,grunge,100
melancholia,melancholia,100
mexican rock,rock,100
funk ostentacao,funk,100
emo,emo,100
nova mpb,mpb,100
brazilian hip hop,hip hop,100
acoustic pop,pop,100
queens hip hop,hip hop,100
texas country,country,100
bachata,bachata,100
trance,trance,100
dfw rap,hip hop,100
salsa,salsa,100
nyc rap,hip hop,100
girl group,group,100
german rock,rock,100
symphonic rock,rock,100
mandopop,pop,100
comic,comic,100
outlaw country,country,100
country dawn,country,100
german trap,trap,100
modern blues rock,rock,100
dream pop,pop,100
funk rock,rock,100
screamo,screamo,100
show tunes,tunes,100
meme rap,hip hop,100
g funk,funk,100
lilith,lilith,100
progressive rock,rock,100
australian dance,dance,100
chanson,chanson,100
reggae fusion,reggae,100
australian rock,rock,100
new orleans rap,hip hop,100
turkish hip hop,hip hop,100
britpop,pop,100
punjabi pop,pop,100
trap triste,trap,100
dream smp,smp,100
pop soul,pop,100
kleine hoerspiel,hoerspiel,100
dominican pop,pop,98
power metal,power metal,100
memphis hip hop,hip hop,100
florida rap,hip hop,100
rain,rain,100
indie rock italiano,rock,100
chillhop,chillhop,100
anime rock,rock,100
merseybeat,merseybeat,100
video game music,music,100
turkish trap,trap,100
german dance,dance,100
russian trap,trap,100
rockabilly,rock,100
dutch edm,edm,100
ohio hip hop,hip hop,100
polish trap,trap,100
reggae,reggae,100
downtempo,downtempo,100
la indie,indie,100
french indie pop,pop,100
lo-fi product,product,100
easy listening,listening,100
deep tropical house,house,100
dutch rap pop,hip hop,100
bossa nova,nova,100
candy pop,pop,100
norwegian pop,pop,100
chillwave,chillwave,100
adoracao,adoracao,100
philly rap,hip hop,100
deep groove house,house,100
afropop,pop,100
bubblegum dance,dance,100
neo-classical,classical,100
disco house,house,100
german techno,techno,100
freak folk,folk,100
nueva cancion,cancion,100
anthem worship,worship,100
trap brasileiro,trap,100
gruperas inmortales,inmortales,100
dancehall,dancehall,100
compositional ambient,ambient,100
atl trap,trap,100
skate punk,punk,100
perreo,perreo,100
children's music,music,100
bass trap,trap,100
baroque pop,pop,100
indie anthem-folk,folk,100
brazilian edm,edm,100
canadian rock,rock,100
italian indie pop,pop,100
plugg,plugg,100
modern indie pop,pop,100
industrial metal,metal,100
barbadian pop,pop,100
danish pop,pop,100
trap italiana,trap,100
japanese teen pop,pop,100
deep regional mexican,mexican,100
roots reggae,reggae,100
rock nacional,rock,100
trap soul,trap,100
classic italian pop,pop,100
nigerian pop,pop,100
indie garage rock,rock,100
old school thrash,thrash,100
neo-psychedelic,neo-psychedelic,100
cumbia pop,cumbia,100
southern soul,soul,100
pittsburgh rap,hip hop,100
background music,music,100
gaming edm,edm,100
sophisti-pop,pop,100
pixie,pixie,100
pop venezolano,pop,100
gauze pop,pop,100
spanish pop rock,rock,100
indie pop rap,hip hop,97
scorecore,scorecore,100
nz pop,pop,100
rap latina,hip hop,100
pop argentino,pop,100
hip house,house,100
jazz funk,jazz,100
funk paulista,funk,100
latin worship,latin,100
korean pop,pop,100
cumbia villera,cumbia,100
brazilian gospel,gospel,100
tennessee hip hop,hip hop,100
latin viral pop,pop,100
spanish hip hop,hip hop,100
uk contemporary r&amp;b,r&amp;b,100
electric blues,blues,100
samba,samba,100
redneck,redneck,100
vapor twitch,twitch,100
turkish rock,rock,100
mexican indie,indie,100
christian rock,rock,100
thrash metal,thrash metal,100
instrumental lullaby,lullaby,100
la pop,pop,100
houston rap,hip hop,100
desi hip hop,hip hop,100
jazz,jazz,100
rap marseille,hip hop,100
rock nacional brasileiro,rock,100
pop flamenco,pop,100
shimmer pop,pop,100
grime,grime,100
southern rock,rock,100
latin christian,latin,100
filter house,house,100
trip hop,hop,100
nu jazz,jazz,100
post-disco,post-disco,100
c-pop,pop,100
dmv rap,hip hop,100
future bass,bass,100
dutch rock,rock,100
tamil pop,pop,100
swedish hip hop,hip hop,100
socal pop punk,punk,100
partyschlager,partyschlager,100
post-screamo,screamo,100
ska argentino,ska,100
glitchcore,glitchcore,100
etherpop,pop,100
industrial rock,rock,100
lo-fi jazzhop,jazz,100
rumba,rumba,100
cancion melodica,melodica,100
panamanian pop,pop,100
madchester,madchester,100
deep german hip hop,hip hop,100
rap conciencia,hip hop,100
axe,axe,100
afrofuturism,afrofuturism,100
korean r&amp;b,r&amp;b,100
bachata dominicana,bachata,100
tejano,tejano,100
chamber pop,pop,100
rap calme,hip hop,100
irish rock,rock,100
shiver pop,pop,100
german underground rap,hip hop,100
focus beats,beats,100
australian indie,indie,100
french rock,rock,100
pagode novo,novo,100
swedish electropop,electro,100
complextro,complextro,100
punk blues,punk,100
vocal house,house,100
rap espanol,hip hop,100
post-punk,punk,100
sheffield indie,indie,100
canadian trap,trap,100
bubblegrunge,grunge,100
pop emo,emo,100
r&amp;b en espanol,espanol,100
cool jazz,jazz,100
night drive phonk,phonk,100
double drumming,drumming,100
german metal,metal,100
baton rouge rap,hip hop,100
anime score,score,100
indonesian indie,indie,100
polish pop,pop,100
jam band,band,100
background piano,piano,100
swedish trap pop,trap,100
german drill,drill,100
meditation,meditation,100
groove metal,metal,100
swing,swing,100
spanish rock,rock,100
deep new americana,americana,100
cumbia sonidera,cumbia,100
taiwan pop,pop,100
dreamo,dreamo,100
canadian singer-songwriter,singer-songwriter,100
wrestling,wrestling,100
french indietronica,indie,100
lullaby,lullaby,100
big beat,beat,100
japanese r&amp;b,r&amp;b,100
uk alternative hip hop,hip hop,100
christian pop,pop,100
scandipop,pop,100
ska,ska,100
norwegian indie,indie,100
classic canadian rock,rock,100
movie tunes,tunes,100
k-rap,hip hop,100
belgian edm,edm,100
turkish folk,folk,100
environmental,environmental,100
uk alternative pop,pop,100
country rap,hip hop,100
bass house,house,100
pop house,house,100
bow pop,pop,100
afro dancehall,dancehall,100
musica popular colombiana,pop,100
brooklyn indie,indie,100
drill,drill,100
classic swedish pop,pop,100
trap boricua,trap,100
electro,electro,100
cantopop,pop,100
melbourne bounce international,international,100
aussietronica,aussietronica,100
jazz pop,pop,100
neon pop punk,punk,100
bedroom soul,soul,100
classic bollywood,bollywood,100
schlager,schlager,100
russian alt pop,pop,100
jazz fusion,jazz,100
jazz blues,jazz,100
alternative country,country,100
hyperpop,pop,100
uk drill,drill,100
traprun,trap,100
cumbia 420,cumbia,100
uk metalcore,metalcore,100
russian rock,rock,100
arabesk,arabesk,100
power pop,pop,100
calming instrumental,instrumental,100
japanese singer-songwriter,singer-songwriter,100
kentucky hip hop,hip hop,100
flamenco urbano,urbano,100
dutch house,house,100
shoegaze,shoegaze,100
electro latino,electro,100
oklahoma country,country,100
neo-synthpop,pop,100
tech house,house,100
minimal techno,techno,100
polish alternative rap,hip hop,100
modern blues,blues,100
pop reggaeton,reggaeton,100
brazilian reggae,reggae,100
eurovision,eurovision,85
broadway,broadway,100
lo-fi cover,cover,100
drum and bass,drum and bass,100
blues,blues,100
alternative emo,emo,100
classic country pop,pop,100
japanese alternative rock,rock,100
indie surf,indie,100
uk post-punk,punk,100
deep underground hip hop,hip hop,100
nyc pop,pop,100
lo-fi chill,chill,100
vallenato,vallenato,100
salsa puertorriquena,salsa,100
industrial,industrial,100
german alternative rap,hip hop,100
pinoy rock,rock,100
modern hard rock,rock,100
minnesota hip hop,hip hop,100
london rap,hip hop,100
funk bh,funk,100
german indie,indie,100
moombahton,moombahton,100
indie jazz,jazz,100
turkish alt pop,pop,100
hamburg hip hop,hip hop,100
contemporary vocal jazz,jazz,100
reading,reading,100
rap dominicano,hip hop,100
new age,age,100
canadian indie,indie,100
chilean rock,rock,100
modern folk rock,rock,100
protopunk,punk,100
anti-folk,folk,100
memphis soul,soul,100
golden age hip hop,hip hop,100
azontobeats,azontobeats,100
finnish dance pop,pop,100
drill espanol,drill,100
post-hardcore,post-hardcore,100
oakland hip hop,hip hop,100
ninja,ninja,100
deep euro house,house,100
celtic rock,rock,100
world,world,100
afroswing,afroswing,100
japanese chillhop,chillhop,100
indie electropop,electro,100
pop rock brasileiro,rock,100
nigerian hip hop,hip hop,100
irish pop,pop,100
canadian metal,metal,100
early music,music,100
reggae en espanol,reggae,100
uplifting trance,trance,100
progressive metal,metal,100
focus,focus,100
thai pop,pop,100
j-pixie,j-pixie,100
uk funky,funk,100
acoustic cover,cover,100
classic j-pop,j-pop,100
baroque,classical,100
pop lgbtq+ brasileira,pop,100
crunk,crunk,100
nu disco,disco,100
rawstyle,rawstyle,100
old school hip hop,hip hop,100
weirdcore,weirdcore,100
cumbia chilena,cumbia,100
modern reggae,reggae,100
dubstep,dubstep,100
white noise,noise,100
smooth jazz,jazz,100
finnish pop,pop,100
neo classical metal,metal,100
irish singer-songwriter,singer-songwriter,100
oxford indie,indie,100
pop romantico,pop,100
czsk hip hop,hip hop,100
ska punk,punk,100
soul jazz,jazz,100
chicago drill,drill,100
antiviral pop,pop,100
german cloud rap,hip hop,100
rap napoletano,hip hop,100
pacific islands pop,pop,100
turbo folk,folk,100
modern alternative pop,pop,100
funk viral,funk,100
canadian electronic,electro,100
arkansas country,country,100
romanian pop,pop,100
japanese vgm,vgm,100
neue deutsche harte,harte,100
deep turkish pop,pop,100
turkish jazz,jazz,100
acid rock,rock,100
early romantic era,era,100
australian psych,psych,100
classic schlager,schlager,100
soul blues,blues,100
political hip hop,hip hop,100
cumbia,cumbia,100
noise pop,pop,100
argentine indie,indie,100
nu-cumbia,cumbia,100
speedrun,speedrun,100
progressive bluegrass,country,100
classical era,classical,100
gymcore,gymcore,100
dub,dub,99
symphonic metal,metal,100
lo-fi indie,indie,100
australian electropop,electro,100
frauenrap,hip hop,100
swedish gangsta rap,hip hop,100
r&amp;b brasileiro,brasileiro,100
coverchill,coverchill,100
swamp rock,rock,100
speed metal,metal,100
reggae rock,reggae,100
pop rap brasileiro,hip hop,100
dance-punk,punk,100
israeli pop,pop,100
j-rap,hip hop,100
phonk,phonk,100
danish hip hop,hip hop,100
funk pop,pop,100
death metal,death metal,100
anthem emo,emo,100
progressive trance,trance,100
post-punk argentina,punk,100
modern salsa,salsa,100
rome indie,indie,100
preschool children's music,music,100
nashville sound,sound,100
sertanejo tradicional,tradicional,100
trova,trova,100
melodic metal,metal,100
french reggae,reggae,100
polish alternative,alternative,100
british blues,blues,100
late romantic era,era,100
venezuelan hip hop,hip hop,100
epicore,epicore,100
lovers rock,rock,100
swedish metal,metal,100
dancefloor dnb,drum and bass,100
chicano rap,hip hop,100
stoner rock,rock,100
swedish idol pop,pop,100
piseiro,piseiro,100
hardcore punk,punk,100
turkish alternative rock,rock,100
vocaloid,vocaloid,100
tagalog rap,hip hop,100
microhouse,house,100
spanish indie pop,pop,100
funk consciente,funk,100
disney,disney,100
indie triste,indie,100
hard bop,bop,100
torch song,song,100
dangdut,dangdut,100
dembow,dembow,97
russian dance,dance,100
nwobhm,nwobhm,100
cartoon,cartoon,100
swedish alternative rock,rock,100
christian hip hop,hip hop,100
british singer-songwriter,singer-songwriter,100
belgian hip hop,hip hop,100
bebop,bebop,100
sunshine pop,pop,100
new jersey rap,hip hop,100
electra,electra,100
visual kei,kei,100
musica de fondo,fondo,100
classic hardstyle,hardstyle,100
chill pop,pop,100
post-romantic era,era,100
basshall,basshall,100
celtic,celtic,100
danspunk,punk,100
anime lo-fi,lo-fi,100
trancecore,trance,100
pagode baiano,baiano,100
trap mexicano,trap,100
zolo,zolo,100
new york drill,drill,100
supergroup,supergroup,100
greek pop,pop,100
birmingham metal,metal,100
west coast trap,trap,100
nederpop,pop,100
melodic dubstep,dubstep,100
finnish hip hop,hip hop,100
euphoric hardstyle,hardstyle,100
suomi rock,rock,95
v-pop,pop,100
latin jazz,jazz,100
modern power pop,pop,100
k-indie,indie,100
albanian hip hop,hip hop,100
canadian punk,punk,99
hi-nrg,hi-nrg,100
jawaiian,jawaiian,100
kindermusik,kindermusik,100
south carolina hip hop,hip hop,100
afro r&amp;b,r&amp;b,100
belgian pop,pop,100
australian alternative rock,rock,98
musica para ninos,ninos,100
rebel blues,blues,100
gothic metal,metal,100
experimental pop,pop,100
swedish trap,trap,100
dark clubbing,clubbing,100
modern dream pop,pop,100
operatic pop,pop,100
organic house,house,100
indie punk,punk,100
classify,classify,100
scottish rock,rock,100
melodic hardcore,hardcore,100
alabama rap,hip hop,100
nouvelle chanson francaise,francaise,100
swedish synthpop,pop,100
detroit trap,trap,100
champeta,champeta,100
pinoy hip hop,hip hop,100
latin talent show,latin,100
south african pop,pop,100
asmr,asmr,100
japanese soundtrack,soundtrack,100
rap belge,hip hop,100
christian indie,indie,100
canadian country,country,100
vancouver indie,indie,100
spanish new wave,wave,100
azonto,azonto,100
cuarteto,cuarteto,100
hawaiian hip hop,hip hop,100
melodic death metal,death metal,100
ambient worship,ambient,100
indian instrumental,instrumental,89
chamber psych,psych,100
shamanic,shamanic,100
iskelma,iskelma,100
r&amp;b italiano,italiano,100
piano cover,cover,100
anadolu rock,rock,100
arab pop,pop,100
diva house,house,97
german soundtrack,soundtrack,100
cumbia ranchera,cumbia,100
classic russian rock,rock,100
doo-wop,doo-wop,100
folklore argentino,folk,100
rkt,rkt,100
ambient,ambient,100
deathcore,deathcore,100
canadian contemporary country,country,100
german baroque,classical,100
turntablism,turntablism,100
rock cristiano,rock,100
french synthpop,pop,100
ska mexicano,ska,100
detroit rock,rock,100
argentine reggae,reggae,100
gospel,gospel,100
st louis rap,hip hop,100
uk americana,americana,100
classic mandopop,pop,100
pub rock,rock,100
italo dance,dance,100
turkish singer-songwriter,singer-songwriter,100
experimental,experimental,100
dutch trance,trance,100
indie game soundtrack,indie,100
tecnobanda,tecnobanda,100
milan indie,indie,100
hard rock brasileiro,rock,100
background jazz,jazz,100
chillstep,chillstep,100
northern soul,soul,100
jazz trumpet,jazz,100
folk brasileiro,folk,100
boom bap espanol,espanol,100
philly indie,indie,100
forro de favela,favela,100
dinner jazz,jazz,100
hands up,up,100
intelligent dance music,music,100
hyphy,hyphy,100
comic metal,metal,100
chinese indie,indie,100
cubaton,cubaton,100
russian dance pop,pop,100
trap carioca,trap,100
jazz rap,hip hop,100
big band,band,100
argentine telepop,pop,100
future house,house,100
british soundtrack,soundtrack,100
salsa colombiana,salsa,100
bossa nova cover,cover,100
japanese emo,emo,100
chicago indie,indie,100
norteno-sax,norteno-sax,100
swedish indie pop,pop,100
roots worship,worship,100
boston rock,rock,100
stoner metal,metal,100
rhythm and blues,blues,100
vegas indie,indie,100
classic soundtrack,soundtrack,100
tekk,tekk,100
water,water,100
classic opm,opm,100
deep ccm,ccm,100
boston hip hop,hip hop,100
roots americana,americana,100
musica infantil,infantil,100
